age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
45,6,123088,11,9,2,3,0,4,1,0,0,50,39
18,4,60981,0,6,4,8,3,4,0,0,0,30,39
23,4,148315,15,10,5,3,3,4,1,0,0,40,39
50,2,120190,12,14,0,10,1,4,0,0,0,45,39
54,5,223752,9,13,2,4,0,4,1,7688,0,40,0
23,4,50953,15,10,4,13,1,4,0,0,0,40,39
30,6,55912,9,13,2,12,0,4,1,0,0,50,39
29,1,182344,11,9,3,8,4,2,1,0,0,40,39
18,4,211273,11,9,4,12,3,4,0,0,0,19,39
54,0,185936,6,5,0,0,1,4,0,0,0,15,39
60,4,74422,4,3,2,5,0,4,1,0,0,44,26
47,2,128401,10,16,4,10,4,4,0,0,0,40,39
39,4,271610,11,9,2,14,0,4,1,0,0,60,39
29,4,178778,15,10,4,8,1,4,1,0,0,40,39
77,2,120408,15,10,2,11,0,4,1,0,0,20,39
29,4,39484,9,13,2,8,0,4,1,7298,0,42,39
22,4,113062,9,13,4,10,3,4,0,0,0,40,39
31,4,35378,15,10,0,1,1,4,0,0,0,45,39
50,2,173630,12,14,2,10,0,4,1,0,0,36,39
34,4,158040,9,13,4,4,1,4,0,0,0,45,39
31,2,219883,11,9,4,11,1,2,1,0,0,40,39
67,4,192995,11,9,6,1,4,4,0,6723,0,40,39
33,4,254221,10,16,4,10,1,4,0,0,0,60,39
41,6,167081,12,14,2,10,0,4,1,0,2415,55,39
27,4,219371,11,9,4,8,1,4,0,0,0,35,39
64,2,266080,11,9,0,1,1,4,0,0,0,35,39
47,6,51664,1,7,2,5,0,4,1,0,0,60,39
40,4,260425,7,12,5,13,4,4,0,1471,0,32,39
60,5,226355,8,11,2,7,0,4,1,0,2415,70,0
54,4,279129,15,10,4,13,1,4,1,0,0,40,39
50,4,98228,11,9,0,12,4,4,0,0,0,45,39
58,5,229498,15,10,6,12,1,4,0,0,0,20,39
35,4,178948,12,14,4,10,4,4,0,0,0,32,39
51,2,101119,11,9,2,11,0,4,1,0,0,70,39
35,7,318891,7,12,6,4,1,4,0,0,0,40,39
72,6,112658,11,9,2,5,0,4,1,2653,0,42,39
32,4,318647,9,13,2,4,0,4,1,0,0,48,39
51,4,74784,9,13,0,12,1,4,0,0,0,60,39
18,4,237646,15,10,4,1,3,4,1,0,0,30,39
40,4,25005,9,13,2,10,0,4,1,15024,0,99,39
40,4,116103,15,10,5,3,4,4,1,4934,0,47,39
43,4,68748,11,9,4,3,2,4,1,0,0,40,39
43,0,142030,11,9,0,0,4,4,0,0,0,40,39
66,4,166461,1,7,2,12,0,4,1,0,0,26,39
49,4,209057,15,10,0,13,1,4,1,0,0,40,39
56,0,174533,9,13,4,0,4,4,0,0,0,20,39
47,6,136258,15,10,0,8,1,4,1,0,0,30,39
43,4,214242,11,9,2,7,0,4,1,0,0,40,31
24,7,105479,12,14,4,10,1,4,0,0,0,40,39
35,7,237873,11,9,4,8,4,2,0,0,0,40,39
38,4,617898,9,13,2,5,0,4,1,0,0,50,39
67,4,72776,15,10,2,6,0,4,1,10566,0,15,39
28,4,79874,15,10,4,8,1,4,1,0,0,37,39
40,4,121012,11,9,2,7,0,4,1,0,0,40,39
35,0,139854,7,12,2,0,0,4,1,0,0,15,39
29,4,132675,1,7,5,8,3,2,0,0,0,40,39
39,4,177154,9,13,2,12,0,4,1,15024,0,50,39
38,4,80303,15,10,2,12,0,4,1,0,0,60,39
43,4,195258,11,9,2,3,0,4,1,0,0,40,39
44,4,107584,12,14,2,1,0,4,1,3908,0,50,39
42,4,210857,9,13,2,4,0,4,1,7688,0,50,39
40,4,164663,11,9,2,14,0,4,1,0,0,40,39
31,6,162551,2,8,2,12,5,1,0,0,0,50,0
41,5,145441,12,14,2,4,0,4,1,0,0,50,39
27,4,341504,15,10,4,1,4,4,0,0,0,40,39
58,4,49893,12,14,2,4,0,4,1,0,0,50,39
32,4,49593,11,9,4,1,1,2,0,0,0,40,39
41,5,64112,7,12,2,10,0,4,1,15024,0,50,39
53,7,231472,10,16,2,10,0,4,1,0,0,40,39
33,4,232356,1,7,2,3,0,4,1,0,0,45,39
51,4,274528,15,10,2,12,0,4,1,0,0,40,39
47,4,131002,9,13,2,10,0,4,1,0,0,50,39
24,4,69045,15,10,4,12,1,2,1,0,0,40,23
18,4,169652,1,7,4,8,3,4,0,0,0,12,39
33,7,137616,12,14,4,10,1,2,0,0,0,35,39
21,4,169699,11,9,4,1,1,4,0,0,0,40,39
53,4,123011,11,9,0,14,1,4,1,0,0,40,39
58,4,131608,9,13,2,12,0,4,1,0,0,55,39
28,4,186239,15,10,4,1,4,2,0,0,0,40,39
24,4,315303,11,9,4,6,3,2,1,0,0,25,39
25,4,185836,15,10,4,8,1,4,0,0,0,40,39
40,4,373050,2,8,2,8,0,4,1,0,0,40,0
38,4,65624,11,9,0,4,1,4,1,0,0,40,39
39,4,144169,11,9,2,12,0,4,1,0,0,50,39
81,4,201398,12,14,6,10,4,4,1,0,0,60,0
34,4,38223,8,11,2,3,0,4,1,0,0,40,39
22,4,122272,9,13,4,1,3,4,0,0,0,35,39
52,4,234286,15,10,0,14,1,4,1,0,0,84,39
32,4,257978,8,11,6,13,4,2,0,0,0,40,39
41,1,185616,11,9,4,1,1,4,0,0,1980,40,39
25,4,90752,9,13,2,1,5,4,0,0,0,40,39
19,4,196857,11,9,4,8,1,4,0,0,0,40,39
37,4,187589,11,9,2,6,0,4,1,5178,0,40,39
31,4,191276,8,11,0,6,4,4,0,0,0,40,39
53,6,152810,0,6,2,3,0,4,1,0,0,40,39
23,4,38707,15,10,2,14,0,4,1,0,0,60,39
37,4,60313,11,9,4,3,4,4,1,0,0,40,39
28,4,192257,9,13,2,10,0,4,1,0,0,40,24
46,4,214955,7,12,0,10,4,4,0,0,0,40,39
21,4,307371,15,10,4,11,3,4,1,0,0,15,39
52,6,106728,7,12,0,12,4,4,1,0,0,40,39
48,4,141483,15,10,0,4,4,4,0,0,0,40,39
22,4,253799,9,13,2,7,0,4,1,0,0,45,0
34,4,340917,11,9,5,7,1,4,1,2174,0,45,39
43,5,188436,12,14,2,4,0,4,1,5013,0,45,39
47,7,100818,11,9,2,1,5,4,0,0,0,40,39
73,0,84053,11,9,6,0,1,4,0,0,0,15,39
77,4,271000,11,9,6,4,1,4,0,0,0,40,39
22,4,345066,0,6,4,8,4,2,0,0,0,40,39
55,6,340171,11,9,5,3,1,2,1,0,0,40,39
29,4,194640,11,9,4,3,3,4,1,0,0,40,39
41,4,63042,11,9,2,12,5,4,0,0,0,20,39
25,4,243786,9,13,4,8,1,4,0,0,0,37,39
41,4,131591,11,9,2,1,0,2,1,0,0,45,39
50,6,312477,11,9,2,4,0,4,1,0,1887,40,39
51,7,250807,15,10,4,4,1,4,1,0,0,40,39
42,4,199900,15,10,2,3,0,4,1,0,0,52,39
40,4,202922,15,10,2,1,0,4,1,0,0,40,39
31,4,217460,9,13,2,4,0,4,1,0,0,40,39
50,2,105788,11,9,5,4,4,2,0,6497,0,35,39
17,4,166360,0,6,4,3,3,4,0,0,0,30,39
32,4,95885,1,7,4,3,1,0,1,13550,0,60,39
32,4,299635,15,10,2,4,0,4,1,0,0,50,11
18,4,192254,15,10,4,12,3,4,0,0,0,10,39
34,4,349169,12,14,2,3,0,4,1,0,0,40,26
73,6,268832,11,9,2,5,0,4,1,0,0,45,39
51,4,68882,3,2,6,8,4,4,0,0,0,35,32
48,4,224870,11,9,0,7,2,3,0,0,0,38,7
30,4,164190,8,11,2,10,0,4,1,5178,0,52,39
36,4,197274,11,9,4,6,1,2,1,0,0,40,39
40,4,144928,15,10,0,3,1,4,1,0,0,40,39
19,6,342384,1,7,2,3,3,4,1,0,2129,55,39
43,7,30824,15,10,0,1,1,4,0,0,0,40,39
45,4,347025,5,4,6,8,4,4,0,0,0,21,39
46,1,332727,15,10,2,3,0,4,1,0,0,40,39
41,1,133060,7,12,2,10,0,4,1,0,0,40,39
41,5,56019,14,15,2,10,0,1,1,99999,0,50,19
23,4,109307,8,11,4,4,3,4,1,0,0,40,39
41,4,200652,6,5,0,8,2,4,0,0,0,35,39
41,4,99373,11,9,0,6,1,4,0,0,0,40,39
55,4,227158,9,13,6,1,4,4,0,0,0,40,39
58,4,212534,11,9,2,3,0,4,1,0,0,40,39
24,4,149396,15,10,4,8,2,2,0,0,0,30,14
54,4,138179,11,9,2,7,0,4,1,0,0,40,39
27,4,242097,8,11,2,14,0,4,1,0,0,50,39
49,4,239625,12,14,2,4,0,4,1,0,0,40,39
45,4,331643,15,10,2,3,0,4,1,0,0,40,39
18,0,172214,11,9,4,0,3,2,0,0,0,20,39
46,4,282538,8,11,5,7,1,2,0,0,0,40,39
18,2,152171,1,7,4,11,3,4,1,0,0,10,39
23,4,345577,9,13,4,1,1,4,0,0,0,46,39
44,4,245317,11,9,2,14,0,4,1,0,0,40,39
37,4,241174,9,13,2,10,0,4,1,0,0,99,39
67,4,221281,11,9,0,1,1,4,0,0,0,15,39
60,4,298967,5,4,2,14,0,4,1,0,0,15,39
17,4,194946,1,7,4,8,3,4,0,0,0,20,39
71,5,118119,15,10,2,4,0,4,1,20051,0,50,39
22,0,24008,15,10,4,0,3,4,1,0,0,72,39
32,5,161153,11,9,2,5,0,4,1,0,1902,55,39
51,4,193374,3,2,2,3,0,4,1,0,0,40,26
61,6,201273,15,10,6,7,1,4,0,0,0,40,39
28,1,329426,9,13,4,4,1,4,1,0,0,50,39
57,4,205708,15,10,2,3,0,4,1,0,0,40,31
71,6,172046,5,4,2,5,0,4,1,0,0,50,39
62,1,162876,15,10,2,1,0,4,1,0,0,40,39
46,5,62546,10,16,5,10,1,4,1,0,0,35,39
45,7,37672,8,11,0,13,4,4,0,0,0,40,39
43,4,172256,9,13,0,12,4,4,0,0,0,50,39
29,4,247445,11,9,5,3,1,4,1,0,0,40,39
34,4,169564,11,9,0,7,4,4,0,0,0,40,39
22,4,203182,9,13,4,4,2,4,0,0,0,20,39
19,4,238474,15,10,4,12,3,4,1,0,0,25,39
30,4,74966,8,11,2,1,5,4,0,0,0,24,39
27,4,234664,15,10,2,10,0,4,1,0,0,40,39
33,7,332379,11,9,2,3,0,4,1,0,0,40,39
44,2,290403,8,11,0,11,3,4,0,0,0,40,5
28,4,110145,6,5,2,7,0,4,1,0,0,40,39
40,4,140559,11,9,2,9,5,4,0,0,0,45,39
32,4,262092,9,13,2,10,0,4,1,7298,0,50,39
31,1,281540,7,12,2,13,0,4,1,0,0,45,39
38,4,168055,8,11,2,8,0,4,1,0,0,40,39
26,4,287797,15,10,2,3,0,4,1,0,0,45,39
39,1,116608,11,9,0,1,4,4,0,0,0,40,39
58,4,65325,0,6,2,14,0,4,1,0,0,40,39
30,4,225243,12,14,2,10,0,4,1,0,0,47,39
28,4,100219,11,9,4,7,3,4,1,0,0,45,39
34,1,172716,2,8,2,2,0,4,1,0,0,40,39
45,4,261278,9,13,2,10,5,1,0,5178,0,40,30
43,4,59460,9,13,4,12,3,4,0,0,0,40,39
25,4,130302,11,9,4,6,4,4,1,0,0,40,39
48,4,55237,9,13,2,3,0,4,1,0,0,45,39
59,4,47444,15,10,2,14,0,4,1,0,0,74,39
38,4,212245,15,10,2,3,0,4,1,0,0,40,39
20,4,196388,15,10,4,7,3,4,1,0,0,25,39
24,4,60783,15,10,2,14,0,4,1,0,0,70,39
45,0,98265,11,9,0,0,1,4,0,0,0,40,39
40,4,109217,1,7,2,3,0,4,1,0,0,45,26
20,4,219835,15,10,4,12,3,4,1,0,0,30,0
25,4,194897,11,9,4,12,3,0,1,6849,0,40,39
55,4,97197,15,10,0,12,1,4,0,0,0,50,39
57,4,144012,9,13,2,4,0,4,1,0,0,40,39
35,0,202683,9,13,4,0,1,4,1,0,0,40,39
51,4,126010,11,9,2,3,0,4,1,0,0,40,39
47,6,152752,4,3,2,14,0,4,1,0,0,20,39
30,4,176969,11,9,0,7,1,4,1,0,0,40,39
49,4,163229,11,9,0,3,1,4,1,0,0,50,39
30,4,164802,9,13,4,4,1,3,0,8614,0,40,19
38,4,168322,11,9,2,14,0,4,1,0,0,60,39
30,4,236993,15,10,4,1,4,4,0,0,0,30,39
51,6,321865,15,10,2,8,0,4,1,0,0,99,39
54,4,103700,11,9,6,8,4,4,0,0,0,40,39
25,2,249214,15,10,4,1,4,2,0,0,0,40,39
20,0,147031,15,10,4,0,3,4,1,0,0,15,39
38,6,322143,9,13,2,8,0,4,1,0,0,10,39
53,4,317313,11,9,2,14,0,4,1,0,0,60,39
45,4,228570,11,9,2,12,5,4,0,0,0,35,39
34,4,155151,15,10,2,3,0,4,1,0,0,40,39
47,2,149700,12,14,2,10,0,4,1,15024,0,35,39
38,4,339025,11,9,2,6,0,1,1,0,1579,40,40
41,4,510072,9,13,2,10,0,4,1,0,0,40,39
52,4,114062,11,9,0,3,4,4,0,0,0,40,39
25,4,27678,15,10,2,8,5,4,0,0,0,60,39
52,4,357596,15,10,2,12,0,4,1,0,0,48,39
20,0,232799,11,9,4,0,3,2,0,0,0,25,39
38,4,219902,11,9,5,14,4,2,0,0,0,30,39
50,7,356619,11,9,2,10,0,4,1,0,0,48,39
47,6,181405,14,15,2,10,0,4,1,15024,0,40,39
53,4,234721,1,7,2,6,0,2,1,0,0,40,39
38,4,478346,11,9,2,4,5,4,0,7688,0,40,39
39,4,191502,8,11,2,3,0,4,1,0,0,40,39
71,5,133821,11,9,2,1,5,4,0,0,0,20,39
41,4,160785,8,11,2,4,0,4,1,0,0,40,39
22,4,335067,9,13,4,4,1,4,1,0,0,20,39
44,6,70884,11,9,2,5,0,4,1,0,0,60,39
30,4,140869,11,9,4,8,4,4,0,0,0,40,39
20,0,30796,11,9,4,0,3,4,0,0,0,20,39
35,4,240988,7,12,4,7,1,4,1,0,0,55,39
25,4,202033,9,13,2,10,0,4,1,0,0,40,39
30,2,363032,11,9,2,11,0,2,1,0,0,40,39
24,4,113936,9,13,4,10,3,4,1,0,0,40,39
43,2,212206,8,11,2,1,5,4,0,0,0,40,39
44,4,271792,9,13,3,4,4,4,0,0,0,40,39
26,4,211435,11,9,4,7,4,4,0,0,0,40,39
36,4,210945,9,13,2,10,0,4,1,0,0,40,39
19,2,167816,11,9,0,4,1,4,0,0,0,35,39
66,4,117162,0,6,6,7,1,4,0,0,0,32,39
28,2,419740,9,13,4,10,1,4,1,0,0,52,39
39,5,239755,14,15,2,10,0,4,1,0,1902,50,39
29,4,250967,8,11,2,10,0,4,1,0,0,40,39
27,4,318639,0,6,4,8,1,4,1,0,0,60,26
35,0,153926,11,9,2,0,5,2,0,0,0,40,39
48,4,56664,11,9,0,8,1,4,0,0,0,40,39
53,4,77927,4,3,4,6,2,1,0,0,0,50,30
31,4,110643,9,13,2,4,0,4,1,0,1977,55,39
45,4,225456,9,13,2,10,0,4,1,0,1977,40,39
30,4,243190,14,15,2,10,0,1,1,0,0,20,19
65,4,212562,1,7,2,6,0,4,1,0,0,20,39
30,4,35644,11,9,4,8,3,4,1,0,0,10,39
42,4,162884,11,9,0,9,4,4,0,0,0,60,4
28,4,64940,15,10,4,8,3,4,0,0,0,30,39
26,4,213258,11,9,2,3,0,4,1,0,0,40,39
52,0,287575,11,9,5,0,4,4,1,0,0,40,39
23,4,97054,11,9,2,4,0,4,1,0,0,55,39
39,4,421633,7,12,0,1,4,2,0,0,0,40,39
26,4,155752,15,10,2,7,0,2,1,0,0,40,39
27,2,190330,8,11,4,4,3,4,0,0,0,40,39
47,4,233511,11,9,0,4,1,4,1,0,0,40,39
19,4,389755,11,9,4,6,3,4,1,0,0,16,39
23,4,82998,15,10,4,12,1,4,1,0,0,30,39
48,2,67716,12,14,2,10,0,4,1,7688,0,50,39
36,4,166509,11,9,0,3,1,4,0,0,0,40,39
33,4,226624,11,9,2,7,0,4,1,0,0,40,39
54,5,357596,9,13,2,4,0,4,1,7298,0,55,39
57,4,220871,5,4,6,7,4,2,0,0,0,40,39
24,4,184756,9,13,4,4,1,4,0,0,0,40,39
53,2,216691,10,16,0,10,1,4,0,10520,0,40,39
51,6,183173,11,9,2,12,0,4,1,0,0,40,39
40,2,208875,12,14,0,10,1,4,0,0,0,50,39
31,4,227146,9,13,2,12,0,4,1,0,0,55,39
29,4,71860,11,9,2,5,0,4,1,0,0,60,39
45,4,187033,11,9,2,3,0,4,1,0,2051,40,39
29,4,198997,11,9,2,1,5,4,0,0,0,20,39
36,5,186035,15,10,2,12,0,4,1,0,0,60,39
29,4,304082,7,12,4,10,1,4,1,0,0,40,29
60,4,101096,10,16,4,10,1,4,0,0,0,65,39
27,4,203776,1,7,2,7,0,4,1,0,0,40,39
20,4,224059,11,9,4,8,1,4,1,0,0,40,39
17,4,48610,1,7,4,5,3,4,1,0,0,45,39
38,4,223004,15,10,4,8,3,4,1,0,0,40,39
30,4,110622,9,13,0,4,1,1,0,0,0,40,3
22,4,385077,11,9,4,3,3,4,1,2907,0,40,39
24,4,273049,9,13,4,4,1,4,1,0,0,42,39
47,4,323798,14,15,2,10,0,4,1,15024,0,55,39
41,4,141186,11,9,3,1,4,4,0,0,0,40,39
29,4,210498,11,9,2,3,0,4,1,0,0,40,39
19,4,218956,2,8,4,7,2,4,1,0,0,40,39
39,4,147258,0,6,2,3,0,4,1,0,0,40,39
49,5,34998,15,10,2,5,0,4,1,0,0,60,39
19,4,264876,11,9,4,6,3,4,1,0,0,40,39
49,4,133351,11,9,2,3,5,2,0,0,0,40,39
30,4,310889,15,10,4,6,1,4,1,0,0,55,39
45,4,135339,15,10,2,3,0,1,1,0,0,45,39
31,4,166248,11,9,2,7,0,4,1,0,0,40,39
76,0,312500,4,3,6,0,4,4,0,0,0,40,39
22,4,554317,6,5,3,8,2,4,1,0,0,35,26
50,6,231196,9,13,0,12,1,4,1,0,0,50,39
25,4,309098,8,11,4,10,1,4,1,0,0,40,39
43,4,358199,15,10,2,12,0,4,1,3103,0,40,39
32,4,209103,11,9,2,14,0,4,1,0,0,20,39
23,4,393248,15,10,4,1,3,4,1,0,0,40,39
77,5,29702,11,9,2,8,0,4,1,0,0,35,39
29,6,267661,11,9,2,5,0,4,1,0,0,70,39
41,4,33331,11,9,2,3,0,4,1,0,0,45,39
48,4,177775,11,9,0,4,1,4,0,0,0,40,39
49,4,186256,15,10,2,10,0,4,1,5013,0,30,39
36,4,228652,15,10,0,7,3,3,1,0,0,40,26
64,4,183513,11,9,4,1,1,4,0,0,0,25,39
32,5,244665,11,9,2,3,0,4,1,5178,0,45,39
32,4,94041,8,11,4,3,1,4,1,0,0,44,21
39,4,114678,11,9,0,8,4,2,0,5455,0,40,39
43,4,147110,15,10,4,1,4,4,1,0,0,48,39
47,4,21906,12,14,4,10,1,4,0,0,0,25,39
47,7,106466,15,10,0,3,4,4,1,0,0,40,39
24,4,197666,9,13,4,4,1,4,0,0,0,40,39
18,0,39493,15,10,4,0,3,4,1,0,0,30,39
35,4,164519,11,9,0,1,4,2,0,0,0,40,39
41,7,355756,15,10,4,10,1,4,1,0,0,40,39
35,7,89040,9,13,2,4,0,4,1,0,0,40,39
40,4,226902,12,14,2,4,0,4,1,15024,0,50,39
33,4,198003,15,10,2,3,0,4,1,7298,0,50,39
67,4,192995,11,9,6,4,1,4,0,0,0,35,39
29,4,273884,11,9,3,14,3,4,1,0,0,30,39
30,7,119422,0,6,2,1,0,4,1,0,0,40,39
37,0,319685,8,11,2,0,0,4,1,0,0,54,39
28,4,115579,8,11,4,13,3,4,0,0,0,38,39
42,5,90693,9,13,2,4,0,4,1,0,0,70,39
31,4,196025,10,16,3,10,1,1,1,0,0,60,3
26,2,33604,11,9,4,6,3,0,1,0,0,25,39
34,5,154120,12,14,2,12,0,4,1,0,0,60,39
42,4,57600,11,9,0,10,1,4,0,0,0,45,39
25,4,251915,9,13,4,12,3,4,0,0,0,40,39
68,0,129802,11,9,6,0,1,4,0,0,0,12,39
23,4,82067,15,10,4,3,3,4,1,0,0,30,39
37,6,183735,11,9,2,10,0,4,1,3137,0,30,39
33,4,179336,12,14,4,1,1,4,0,0,0,40,39
47,4,196707,14,15,0,1,1,4,1,0,0,40,39
60,2,227311,0,6,0,1,4,4,0,0,0,40,39
25,7,222800,15,10,2,11,0,4,1,0,0,40,39
45,4,274869,11,9,0,1,4,4,0,0,0,40,39
42,4,243380,12,14,0,12,1,4,1,0,0,50,39
62,4,113440,9,13,2,12,0,4,1,0,0,35,39
24,4,168997,15,10,2,3,0,4,1,0,0,40,39
29,4,184224,11,9,4,14,3,4,1,0,0,40,39
44,4,321824,10,16,2,10,0,4,1,0,0,20,39
41,4,169473,11,9,0,8,1,4,0,0,0,30,39
30,4,180574,15,10,4,1,2,4,0,0,0,40,39
43,4,293176,9,13,2,12,0,4,1,0,0,40,39
20,4,396722,15,10,4,12,1,4,0,0,0,40,39
22,4,160398,15,10,4,12,2,4,1,0,0,38,39
45,6,162923,11,9,2,3,0,4,1,0,0,60,39
41,4,280167,12,14,2,4,0,4,1,15024,0,70,39
32,4,188246,11,9,0,3,3,4,1,0,0,40,39
51,2,35211,12,14,2,10,0,0,1,0,0,40,39
39,4,202683,9,13,2,1,0,4,1,0,0,40,39
30,4,259425,8,11,4,11,1,4,1,0,0,40,39
43,4,55395,15,10,2,3,0,4,1,0,0,40,39
51,4,244572,11,9,5,8,1,2,0,0,0,37,39
48,4,355320,9,13,2,10,0,4,1,0,0,45,2
21,4,222993,11,9,4,7,3,4,1,0,0,40,39
37,0,87369,6,5,0,0,4,4,0,0,0,40,39
37,2,365430,15,10,2,1,0,4,1,0,0,40,2
36,4,309122,11,9,0,1,4,4,0,0,0,35,39
38,4,76878,1,7,2,3,0,4,1,5178,0,40,39
38,2,414791,11,9,2,14,0,4,1,0,0,40,39
27,4,506436,15,10,0,12,4,4,0,0,0,40,29
38,4,111377,15,10,2,4,0,4,1,0,0,55,39
43,4,307767,11,9,2,3,0,4,1,0,0,40,39
32,4,198068,11,9,4,14,1,4,1,0,0,60,39
55,0,227243,11,9,6,0,4,4,0,0,0,35,33
41,4,171231,15,10,2,3,0,4,1,0,0,40,29
19,4,225294,11,9,4,8,3,2,0,0,0,40,39
31,4,369027,11,9,2,14,0,2,1,0,0,37,39
44,4,99830,15,10,2,3,0,4,1,0,0,65,39
60,2,227232,11,9,6,4,4,4,0,0,0,40,39
49,4,165468,11,9,2,4,0,4,1,7688,0,55,39
56,4,146554,11,9,5,1,2,2,0,0,0,40,39
62,4,223975,5,4,2,10,0,4,1,0,0,20,39
61,1,136787,15,10,2,1,0,4,1,0,0,40,39
26,4,195994,15,10,4,12,1,4,0,0,0,15,39
23,4,528616,4,3,2,8,0,4,1,0,0,40,26
24,6,172047,7,12,4,3,3,4,1,0,0,40,39
24,4,362059,2,8,4,3,3,4,1,0,0,32,39
49,5,362654,15,10,2,4,0,4,1,15024,0,50,39
38,4,112497,11,9,4,10,1,4,1,0,0,40,39
41,4,254440,8,11,4,10,1,4,0,0,0,60,39
22,0,199426,15,10,4,0,1,4,0,0,0,40,39
50,4,215990,11,9,2,3,0,4,1,0,0,40,39
19,4,530454,11,9,4,8,1,4,0,0,0,50,39
19,4,194905,15,10,4,8,3,4,0,0,0,12,39
53,2,287192,3,2,2,8,0,4,1,0,0,32,26
56,4,83196,11,9,2,4,0,4,1,0,0,50,39
23,4,228724,15,10,4,10,1,4,1,0,0,20,39
22,4,113936,15,10,4,6,3,4,1,0,0,40,39
31,4,116508,11,9,2,7,0,4,1,0,0,48,39
31,4,218322,15,10,4,8,1,4,1,0,0,30,39
48,4,171807,9,13,0,8,4,4,0,0,0,56,39
39,4,315291,11,9,4,1,4,2,0,0,0,40,39
34,4,83800,15,10,2,8,5,4,0,0,0,30,39
34,2,255098,9,13,0,10,4,4,0,0,0,40,39
43,4,110970,9,13,2,10,0,4,1,0,1902,40,39
45,4,317360,9,13,0,10,4,4,0,0,0,50,39
32,4,127651,11,9,2,12,0,4,1,0,0,46,39
35,1,128608,9,13,4,4,3,4,1,0,0,40,39
32,4,360593,11,9,0,12,4,2,0,0,0,30,39
50,4,213290,8,11,2,10,5,4,0,0,1887,36,39
38,4,40319,15,10,0,4,1,4,0,0,0,42,39
28,4,241431,2,8,2,6,0,4,1,0,0,40,39
52,4,187938,15,10,0,12,1,4,0,0,0,49,39
20,4,94744,11,9,4,1,3,2,0,0,0,20,39
38,4,234962,11,9,2,6,0,4,1,2829,0,30,26
35,4,283237,11,9,4,7,3,4,1,0,0,40,39
21,4,37783,15,10,4,4,1,4,0,0,0,38,39
34,2,97723,14,15,2,10,0,4,1,0,0,40,39
37,4,103408,11,9,4,5,1,2,1,0,0,40,39
37,4,132702,9,13,3,4,1,4,0,0,0,40,39
30,4,261023,15,10,0,7,4,4,1,0,0,50,39
23,4,42706,15,10,4,10,1,4,1,0,0,45,39
30,4,93973,1,7,2,3,0,3,1,0,0,40,26
43,6,96129,1,7,2,6,0,4,1,0,0,60,39
44,6,104196,11,9,2,4,0,4,1,0,0,84,39
25,4,212800,15,10,4,12,3,4,0,0,0,40,39
24,4,180931,9,13,2,12,0,2,1,0,0,30,39
60,4,132529,11,9,2,8,0,4,1,0,0,40,39
21,4,285127,11,9,4,6,1,2,0,0,0,40,39
41,4,208613,15,10,4,12,1,4,1,0,0,40,39
51,7,77905,8,11,0,10,4,4,0,0,0,40,39
23,4,125525,9,13,4,10,3,4,1,0,0,42,39
